Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for bsd-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:32:22 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 8388608k(1397952k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=134217728 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=348966912 -XX:MaxTenuringThreshold=6 -XX:OldPLABSize=16 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
0.137: [GC (Allocation Failure) 0.137: [ParNew: 34633K->4351K(39296K), 0.0050346 secs] 34633K->12539K(126720K), 0.0051682 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
0.152: [GC (Allocation Failure) 0.153: [ParNew: 39272K->4337K(39296K), 0.0079797 secs] 47460K->24812K(126720K), 0.0080966 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
0.167: [GC (Allocation Failure) 0.167: [ParNew: 39281K->4348K(39296K), 0.0095660 secs] 59756K->38349K(126720K), 0.0096786 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
0.185: [GC (Allocation Failure) 0.185: [ParNew: 39099K->4344K(39296K), 0.0087423 secs] 73101K->48734K(126720K), 0.0088499 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
0.194: [GC (CMS Initial Mark) [1 CMS-initial-mark: 44389K(87424K)] 49320K(126720K), 0.0001898 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.194: [CMS-concurrent-mark-start]
0.213: [CMS-concurrent-mark: 0.019/0.019 secs] [Times: user=0.02 sys=0.01, real=0.02 secs] 
0.213: [GC (Allocation Failure) 0.213: [ParNew: 38876K->4349K(39296K), 0.0085230 secs] 83266K->62078K(126720K), 0.0086035 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
0.222: [CMS-concurrent-preclean-start]
0.222: [CMS-concurrent-preclean: 0.000/0.000 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.222: [CMS-concurrent-abortable-preclean-start]
0.226: [GC (Allocation Failure) 0.226: [ParNew: 39293K->4349K(39296K), 0.0116145 secs] 97022K->80367K(126720K), 0.0117169 secs] [Times: user=0.04 sys=0.01, real=0.02 secs] 
0.243: [GC (Allocation Failure) 0.243: [ParNew: 39106K->4346K(39296K), 0.0090281 secs] 115124K->93832K(129212K), 0.0091105 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
0.258: [GC (Allocation Failure) 0.258: [ParNew: 39248K->4346K(39296K), 0.0072345 secs] 128734K->104618K(139968K), 0.0073476 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
0.270: [GC (Allocation Failure) 0.270: [ParNew: 39245K->4348K(39296K), 0.0085314 secs] 139517K->116781K(152140K), 0.0086170 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
0.284: [GC (Allocation Failure) 0.284: [ParNew: 39292K->4333K(39296K), 0.0092484 secs] 151725K->131433K(166928K), 0.0093508 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
0.298: [GC (Allocation Failure) 0.298: [ParNew: 38696K->4347K(39296K), 0.0091517 secs] 165796K->143687K(179096K), 0.0092410 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
0.313: [GC (Allocation Failure) 0.313: [ParNew: 39176K->4351K(39296K), 0.0078966 secs] 178516K->154878K(190328K), 0.0079808 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
0.326: [GC (Allocation Failure) 0.326: [ParNew: 39295K->4345K(39296K), 0.0070607 secs] 189822K->165072K(200464K), 0.0071516 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
0.339: [GC (Allocation Failure) 0.339: [ParNew: 39289K->4351K(39296K), 0.0070963 secs] 200016K->175338K(210776K), 0.0071823 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.351: [GC (Allocation Failure) 0.351: [ParNew: 38957K->4349K(39296K), 0.0083852 secs] 209943K->188001K(223532K), 0.0084717 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
0.365: [GC (Allocation Failure) 0.365: [ParNew: 39098K->4344K(39296K), 0.0087590 secs] 222750K->201179K(236608K), 0.0088468 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
0.379: [GC (Allocation Failure) 0.379: [ParNew: 39288K->4346K(39296K), 0.0065261 secs] 236123K->210681K(246276K), 0.0066122 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
0.390: [GC (Allocation Failure) 0.390: [ParNew: 38541K->4346K(39296K), 0.0079283 secs] 244876K->222282K(257852K), 0.0080246 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
0.403: [GC (Allocation Failure) 0.403: [ParNew: 39290K->4350K(39296K), 0.0084288 secs] 257226K->234961K(270508K), 0.0085054 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
0.417: [GC (Allocation Failure) 0.417: [ParNew: 39294K->4351K(39296K), 0.0091950 secs] 269905K->248597K(284028K), 0.0092695 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
0.431: [GC (Allocation Failure) 0.431: [ParNew: 39280K->4337K(39296K), 0.0073959 secs] 283527K->258915K(294488K), 0.0074926 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
0.444: [GC (Allocation Failure) 0.444: [ParNew: 39281K->4345K(39296K), 0.0068565 secs] 293859K->268994K(304420K), 0.0069302 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
0.455: [GC (Allocation Failure) 0.455: [ParNew: 39289K->4346K(39296K), 0.0097754 secs] 303938K->283108K(318708K), 0.0098516 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
0.471: [GC (Allocation Failure) 0.471: [ParNew: 38811K->4347K(39296K), 0.0091636 secs] 317573K->294686K(330192K), 0.0092402 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
0.486: [GC (Allocation Failure) 0.486: [ParNew: 39206K->4348K(39296K), 0.0073865 secs] 329545K->305120K(340708K), 0.0074596 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
0.499: [GC (Allocation Failure) 0.499: [ParNew: 39154K->4329K(39296K), 0.0076932 secs] 339926K->317335K(353012K), 0.0077751 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
0.511: [GC (Allocation Failure) 0.511: [ParNew: 39273K->4349K(39296K), 0.0086413 secs] 352279K->330133K(365784K), 0.0087003 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
0.526: [GC (Allocation Failure) 0.526: [ParNew: 38843K->4351K(39296K), 0.0074930 secs] 364627K->339678K(375180K), 0.0075833 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
0.539: [GC (Allocation Failure) 0.539: [ParNew: 39290K->4338K(39296K), 0.0090365 secs] 374617K->352433K(387980K), 0.0091263 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
0.554: [GC (Allocation Failure) 0.554: [ParNew: 39274K->4350K(39296K), 0.0085031 secs] 387369K->364662K(400312K), 0.0086070 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
0.568: [GC (Allocation Failure) 0.568: [ParNew: 39074K->4351K(39296K), 0.0092617 secs] 399386K->377914K(413440K), 0.0093489 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
0.583: [GC (Allocation Failure) 0.583: [ParNew: 39037K->4348K(39296K), 0.0077556 secs] 412600K->388171K(423684K), 0.0078671 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
0.595: [GC (Allocation Failure) 0.595: [ParNew: 39292K->4350K(39296K), 0.0094116 secs] 423115K->400247K(435912K), 0.0095011 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
